parameter,trend_direction,sens_slope_per_year,kendall_tau,z_score,p_value,significant_alpha005,method,n_years
NDCI,increasing,0.004732994546855098,0.42857142857142855,1.2015028183722212,0.22955621387891978,False,Mann-Kendall (manual),7
NDTI,decreasing,-0.0005562676423242069,-0.14285714285714285,-0.3003757045930553,0.7638905934705397,False,Mann-Kendall (manual),7
TSS,decreasing,-1.2389655561407658,-0.5238095238095238,-1.5018785229652765,0.1331284841960599,False,Mann-Kendall (manual),7
CDOM,increasing,0.008761195241160591,0.23809523809523808,0.6007514091861106,0.5480055723613093,False,Mann-Kendall (manual),7
Secchi_Depth,decreasing,-0.0009116323864509779,-0.14285714285714285,-0.3003757045930553,0.7638905934705397,False,Mann-Kendall (manual),7
SST,increasing,0.08255009888867566,0.23809523809523808,0.6007514091861106,0.5480055723613093,False,Mann-Kendall (manual),7
